NEWID,Income Class,Education,Division,Family Type,Transportation,Food,Rented Dwelling,Entertainment,Eat Out,Alcohol Beverages,Fuel,Babysitting and Childcare,Furniture,Apparel,Male Clothing,Men Clothing,Footwear,Other Apparel,Cars and Trucks,Gas,Public Transportation,Pet and Toy,Personal Care,Household Textiles,Reading,Boy Clothing,Girl Clothing,Child Clothing
4268803,5,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4268804,6,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269083,7,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269084,7,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269193,6,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269194,5,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269513,3,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4269514,3,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270363,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270583,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271123,2,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271124,2,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271173,6,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271174,6,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271723,2,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271724,3,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271853,3,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271854,3,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271873,5,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4271874,5,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273143,6,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273144,6,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273883,7,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273884,6,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274533,7,13,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274534,7,13,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274963,3,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274964,3,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275243,1,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275244,2,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275343,2,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275344,2,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275583,3,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275584,3,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275693,5,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4275694,5,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4276853,4,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4276854,4,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277143,4,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277144,2,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277183,3,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277184,3,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4277913,2,12,1,9,209,238.3333,0,510,0,0,0,0,0,0,0,0,0,0,0,100,0,350,0,200,0,0,0,0
4277914,2,12,1,9,165,260,0,157,0,0,0,0,0,95,0,0,34,0,0,60,0,50,0,100,0,0,0,0
4278123,6,16,1,2,79.3333,2816.6667,4212.3333,55,1300,0,0,800,0,50,0,0,0,0,0,40,39.3333,20,0,0,100,0,0,50
4278153,2,12,1,9,205,498.3333,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,0,13.3333,0,0,0,0,0
4278154,3,12,1,9,50,541.6667,0,0,86.6667,0,0,0,0,0,0,0,0,0,0,50,0,0,13.3333,0,30,0,0,0
4278733,4,15,1,8,63,504.6667,1125,78,86.6667,0,0,0,0,30,0,0,0,30,0,0,63,0,0,0,0,0,0,0
4278734,4,15,1,8,63,390,1125,0,86.6667,0,0,0,0,47.6667,31,31,0,16.6667,0,0,63,0,13.3333,0,0,0,0,0
4279073,2,12,1,8,97,173.3333,541,85,0,30,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
4279074,2,12,1,8,372,195,452,107,65,20,0,0,0,0,0,0,0,0,0,60,0,25,0,0,0,0,0,0
4279683,6,16,1,4,10,2210,0,0,260,50,265,0,0,411,173,128,176,0,0,10,0,0,0,0,0,45,46,0
4279684,5,16,1,4,1324,2600,0,200,0,20,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
4280293,6,14,1,9,80,726.6667,0,491,216.6667,85.6667,0,0,0,150,0,0,150,0,0,25,0,0,0,0,0,0,0,0
4280294,5,14,1,9,981,281.6667,0,106,108.3333,20,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
4280573,3,13,1,8,20,281.6667,1450,133,0,40,0,0,0,66.6667,0,0,0,66.6667,0,20,0,0,0,0,0,0,0,0
4281923,6,14,1,3,192,1278.3333,0,107,0,0,0,0,0,400,105,0,200,0,0,80,0,0,0,0,0,105,66,0
4281924,6,14,1,3,2120,996.6667,0,96,0,0,0,0,0,415,115,0,0,0,0,120,0,0,133.3333,0,0,115,174,0
4282374,4,13,1,8,417,615.3333,1166.6667,94,86.6667,0,0,0,0,13.3333,0,0,0,13.3333,0,90,0,0,80,0,0,0,0,0
4282913,2,11,1,9,52,173.3333,33,122,0,0,0,0,0,16,0,0,0,16,0,0,52,0,0,0,0,0,0,0
4282914,2,11,1,9,65,195,33,200,0,0,0,0,0,11.6667,0,0,0,11.6667,0,0,65,0,0,0,0,0,0,0
4283833,6,16,1,3,975.6667,1516.6667,0,2724,650,350,0,0,0,85,0,0,0,5,0,164,12,415,24.6667,0,1,0,0,0
4283834,6,16,1,3,703,2361.6667,0,842,1300,360,0,0,0,131,0,0,0,0,0,250,286,239,86.6667,0,152,0,0,0
4284653,5,12,1,1,130,1018.3333,0,83,216.6667,65,0,0,0,0,0,0,0,0,0,130,0,0,6.6667,0,0,0,0,0
4284654,4,12,1,1,317,1253.3333,0,0,430,60,216,0,300,0,0,0,0,0,0,205,0,0,40,0,0,0,0,0
4285013,7,11,1,9,43,456,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4285014,3,11,1,9,95,1063.3333,0,59,343.3333,0,0,0,0,80,80,80,0,0,0,0,34,0,0,0,0,0,0,0
4285153,6,15,1,2,925,1473.3333,0,150,650,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
4285154,6,15,1,2,700,1560,0,119,866.6667,0,0,0,0,500,0,0,0,0,0,200,0,0,83.3333,0,0,0,0,0
4285793,2,15,1,8,0,247,267.3333,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4285794,2,15,1,8,0,533,229,48,333.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6667,0,0,0,0,0
4285803,3,12,1,3,40,606.6667,700,59,108.3333,50,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
4285804,7,12,1,3,40,823.3333,700,60,433.3333,0,0,0,0,20,0,0,20,0,0,40,0,0,0,0,0,0,0,0
4287153,4,13,1,8,966,398.6667,0,67,86.6667,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4287874,7,15,1,9,242,736.6667,0,60,216.6667,40,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
4287943,6,12,1,9,1074.6667,554.6667,0,380,173.3333,50,350,0,0,83,0,0,0,0,0,330,16,125,4,0,0,0,0,0
4287944,6,12,1,9,599,845,0,548,303.3333,180,0,0,0,0,0,0,0,0,0,160,0,335,0,0,0,0,0,0
4288243,5,14,1,9,760,1213.3333,0,109,0,0,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0,0,50
4288244,5,14,1,9,618,801.6667,0,78,0,0,60,0,0,90,0,0,0,0,0,150,0,0,10,0,0,0,0,90
4289603,3,13,1,4,420,1196,0,229,433.3333,0,0,0,0,10,0,0,0,10,0,120,0,0,0,0,0,0,0,0
4289604,3,13,1,4,590,1126.6667,0,251,0,80,440,0,0,312,0,0,0,0,0,200,0,0,0,40,50,0,0,0
4290074,6,15,1,3,1980,2936.6667,0,2059,596.6667,1240,0,0,0,500,0,0,0,500,0,1000,0,1270,0,0,20,0,0,0
4290083,6,14,1,3,1236,2253.3333,0,3115,693.3333,400,0,0,3000,826,223,130,250,0,0,400,0,380,0,0,0,93,83,0
4290084,6,14,1,3,582,2851.6667,0,1942,1040,415,59,40,0,920,152,65,250,70,0,0,0,285,166.6667,300,30,87,262,0
4290203,1,12,1,1,1410,1720.6667,0,184,866.6667,0,0,0,0,30,18,0,0,0,0,40,0,0,0,0,0,18,12,0
4290204,2,12,1,1,1050,1473.3333,0,196,866.6667,0,0,0,0,0,0,0,0,0,0,160,0,0,8,0,0,0,0,0
4290293,2,12,1,8,88,606.6667,0,190,0,0,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
4290294,2,12,1,8,420,606.6667,0,190,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4290413,3,12,1,8,263,1274,2200,226,173.3333,0,0,0,0,110,0,0,110,0,0,240,0,0,0,120,0,0,0,0
4290414,3,12,1,8,225,1430,1900,759,433.3333,80,0,0,0,170,0,0,50,100,0,180,0,0,40,0,0,0,0,0
4290713,2,12,1,8,245.6667,173.3333,0,96,43.3333,0,0,0,0,61,61,61,0,0,0,148.6667,6,0,13.3333,45,0,0,0,0
4290714,2,12,1,8,52,208,0,120,86.6667,0,0,0,0,19,0,0,19,0,0,50,2,0,0,0,0,0,0,0
4291173,3,14,1,8,510,606.6667,0,155,260,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
4291174,3,14,1,8,116.6667,433.3333,0,145,86.6667,0,0,0,0,0,0,0,0,0,0,100,0,0,30,0,0,0,0,0
4291374,4,15,1,8,606,563.3333,1600,246,0,0,28,0,0,160,0,0,60,0,0,200,0,0,40,0,0,0,0,0
4292154,2,12,1,7,655.6667,1591.6667,2100,717,136.6667,14,0,0,1361,1510,288,288,488,370,0,240,70,110,467.6667,500,55,0,0,0
4293073,3,15,1,9,193,563.3333,0,82,86.6667,0,0,0,0,0,0,0,0,0,0,160,0,40,0,0,0,0,0,0
4293074,4,15,1,9,2618,823.3333,0,40,130,0,180,0,0,0,0,0,0,0,0,280,0,40,80,0,0,0,0,0
4293463,4,15,1,8,1131.3333,300,1133.3333,276,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4293464,7,15,1,8,195.6667,3023.3333,1200,311,1226.6667,270,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
4293953,4,12,1,8,900,1040,1000,0,433.3333,240,0,0,0,363.3333,150,150,0,213.3333,0,300,0,0,0,0,0,0,0,0
4295343,7,12,1,4,1342,1646.6667,0,360,0,0,250,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
4295344,6,12,1,4,1150,2426.6667,0,2326,0,200,0,0,0,0,0,0,0,0,0,800,0,2000,333.3333,0,0,0,0,0
4295973,5,14,1,4,2001,4940,2274,192,1040,0,0,0,0,255,151,151,0,80,0,560,0,0,93.3333,0,0,0,0,0
4295974,5,14,1,4,1175.3333,3000,2204,121,833.3333,0,0,0,0,468,210,210,206,52,0,480,13.3333,0,183.3333,0,45,0,0,0
4296523,5,15,1,1,642.6667,2123.3333,0,530,173.3333,120,0,0,900,0,0,0,0,0,0,60,0,20,0,0,463,0,0,0
4296524,5,15,1,1,1610,2080,0,592,130,110,0,0,0,0,0,0,0,0,0,120,0,0,72,0,0,0,0,0
4296673,5,15,1,1,1625,433.3333,0,270,86.6667,130,450,0,0,76,0,0,0,0,0,150,0,0,33.3333,0,25,0,0,0
4296674,4,15,1,1,1569,693.3333,0,310,86.6667,0,0,0,0,50,0,0,0,0,0,100,0,0,33.3333,0,0,0,0,0
4297163,6,16,1,1,98,780,0,296,173.3333,100,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
4297203,7,16,1,4,136,1746.6667,0,380,533.3333,0,0,0,0,159,0,0,80,70,0,116,0,0,0,0,200,0,9,0
4297204,7,16,1,3,1911,2470,0,457,733.3333,0,0,0,0,0,0,0,0,0,0,220,0,150,133.3333,50,75,0,0,0
4298693,7,13,1,1,993,780,1570,0,0,0,0,0,0,66.6667,0,0,0,66.6667,0,320,0,0,0,0,0,0,0,0
4298694,2,13,1,1,945,1170,3340,0,433.3333,40,0,0,0,142,47,47,0,60,0,350,0,0,0,0,0,0,0,0
4298944,6,12,1,4,2674,2470,0,1727,130,100,0,0,0,130,0,0,130,0,0,550,0,0,0,0,0,0,0,0
4299013,6,12,1,9,1289.3333,1300,0,275,693.3333,180,0,0,0,70,0,0,70,0,0,624,0,0,15.3333,0,0,0,0,0
4310202,3,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310203,4,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310204,3,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310292,3,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310293,3,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310294,4,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310853,2,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311302,3,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311303,3,14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311304,3,14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311563,1,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311564,2,14,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311872,5,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311873,6,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311874,6,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312664,5,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312782,1,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312784,2,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313882,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313883,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313884,2,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313962,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313964,5,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314323,2,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314324,2,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314952,6,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314953,6,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314954,6,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
